Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2023,Riverside,12,Urinary Tract Infection,,,,,"1,672","1,899,181",88,88.5,,
2024,Riverside,12,Urinary Tract Infection,,,,,"1,884","1,938,337",97.2,112.4,,
2005,Sacramento,12,Urinary Tract Infection,"1,374","1,001,691",137.2,154.9,,,,,,
2006,Sacramento,12,Urinary Tract Infection,"1,402","1,010,429",138.8,156,,,,,,
2007,Sacramento,12,Urinary Tract Infection,"1,487","1,020,852",145.7,162.6,,,,,,
2008,Sacramento,12,Urinary Tract Infection,"1,544","1,032,542",149.5,165.5,,,,,,
2009,Sacramento,12,Urinary Tract Infection,"1,368","1,046,094",130.8,143.7,,,,,,
2010,Sacramento,12,Urinary Tract Infection,"1,222","1,058,518",115.4,126.1,,,,,,
2011,Sacramento,12,Urinary Tract Infection,"1,165","1,075,584",108.3,117.1,,,,,,
2012,Sacramento,12,Urinary Tract Infection,969,"1,052,498",92.1,96.5,,,,,,
2013,Sacramento,12,Urinary Tract Infection,"1,045","1,066,996",97.9,101.6,,,,,,
2014,Sacramento,12,Urinary Tract Infection,"1,224","1,102,714",111,117.4,,,,,,
2015,Sacramento,12,Urinary Tract Infection,873,"812,828",107.4,108.5,,,,,,
2016,Sacramento,12,Urinary Tract Infection,,,,,"1,003","1,147,725",87.4,101.6,,
2017,Sacramento,12,Urinary Tract Infection,,,,,852,"1,163,101",73.3,84.4,,
2018,Sacramento,12,Urinary Tract Infection,,,,,781,"1,175,207",66.5,75.9,,
2019,Sacramento,12,Urinary Tract Infection,,,,,755,"1,187,953",63.6,72,,
2020,Sacramento,12,Urinary Tract Infection,,,,,651,"1,219,067",53.4,60.6,,
2021,Sacramento,12,Urinary Tract Infection,,,,,772,"1,224,233",63.1,71.1,,
2022,Sacramento,12,Urinary Tract Infection,,,,,953,"1,225,015",77.8,86,,
2023,Sacramento,12,Urinary Tract Infection,,,,,999,"1,226,535",81.4,87.1,,
2024,Sacramento,12,Urinary Tract Infection,,,,,"1,153","1,250,922",92.2,104.7,,
2005,San Benito,12,Urinary Tract Infection,44,"38,212",115.1,148.4,,,,,,
2006,San Benito,12,Urinary Tract Infection,68,"37,946",179.2,226.3,,,,,,
2007,San Benito,12,Urinary Tract Infection,54,"37,962",142.2,176.9,,,,,,
2008,San Benito,12,Urinary Tract Infection,47,"38,262",122.8,150.4,,,,,,
2009,San Benito,12,Urinary Tract Infection,61,"38,665",157.8,191,,,,,,
2010,San Benito,12,Urinary Tract Infection,58,"39,605",146.4,176.6,,,,,,
2011,San Benito,12,Urinary Tract Infection,50,"40,265",124.2,147.7,,,,,,
2012,San Benito,12,Urinary Tract Infection,45,"41,402",108.7,128.2,,,,,,
2013,San Benito,12,Urinary Tract Infection,51,"42,194",120.9,140.3,,,,,,
2014,San Benito,12,Urinary Tract Infection,34,"41,257",82.4,94.7,,,,,,
2015,San Benito,12,Urinary Tract Infection,39,"33,017",118.1,133.2,,,,,,
2016,San Benito,12,Urinary Tract Infection,,,,,41,"43,752",93.7,148.1,,
2017,San Benito,12,Urinary Tract Infection,,,,,53,"44,628",118.8,187.8,,
2018,San Benito,12,Urinary Tract Infection,,,,,56,"45,599",122.8,194,,
2019,San Benito,12,Urinary Tract Infection,,,,,37,"46,798",79.1,123,,
2020,San Benito,12,Urinary Tract Infection,,,,,34,"48,106",70.7,111.4,,
2021,San Benito,12,Urinary Tract Infection,,,,,49,"49,790",98.4,156.1,,
2022,San Benito,12,Urinary Tract Infection,,,,,59,"50,683",116.4,181.8,,
2023,San Benito,12,Urinary Tract Infection,,,,,44,"51,135",86,108.9,,
2024,San Benito,12,Urinary Tract Infection,,,,,56,"52,121",107.4,138.6,,
2005,San Bernardino,12,Urinary Tract Infection,"1,937","1,347,408",143.8,192.4,,,,,,
2006,San Bernardino,12,Urinary Tract Infection,"1,771","1,373,516",128.9,172.6,,,,,,
2007,San Bernardino,12,Urinary Tract Infection,"1,829","1,390,849",131.5,175.2,,,,,,
2008,San Bernardino,12,Urinary Tract Infection,"1,912","1,405,191",136.1,179.3,,,,,,
2009,San Bernardino,12,Urinary Tract Infection,"1,947","1,420,975",137,178.2,,,,,,
2010,San Bernardino,12,Urinary Tract Infection,"1,966","1,447,189",135.8,175,,,,,,
2011,San Bernardino,12,Urinary Tract Infection,"1,935","1,474,036",131.3,167.6,,,,,,
2012,San Bernardino,12,Urinary Tract Infection,"1,987","1,428,592",139.1,170.9,,,,,,
2013,San Bernardino,12,Urinary Tract Infection,"1,953","1,446,673",135,163.6,,,,,,
2014,San Bernardino,12,Urinary Tract Infection,"1,970","1,521,005",129.5,162.3,,,,,,
2015,San Bernardino,12,Urinary Tract Infection,"1,477","1,099,744",134.3,157.5,,,,,,
2016,San Bernardino,12,Urinary Tract Infection,,,,,"1,771","1,558,038",113.7,151.5,,
2017,San Bernardino,12,Urinary Tract Infection,,,,,"1,743","1,577,430",110.5,145.6,,
2018,San Bernardino,12,Urinary Tract Infection,,,,,"1,590","1,594,421",99.7,129.8,,
2019,San Bernardino,12,Urinary Tract Infection,,,,,"1,653","1,607,856",102.8,132,,
2020,San Bernardino,12,Urinary Tract Infection,,,,,"1,050","1,616,879",64.9,84.2,,
2021,San Bernardino,12,Urinary Tract Infection,,,,,"1,131","1,630,166",69.4,89.9,,
2022,San Bernardino,12,Urinary Tract Infection,,,,,"1,306","1,635,914",79.8,102,,
2023,San Bernardino,12,Urinary Tract Infection,,,,,"1,676","1,641,803",102.1,128.8,,
2024,San Bernardino,12,Urinary Tract Infection,,,,,"1,925","1,665,133",115.6,133.8,,
2005,San Diego,12,Urinary Tract Infection,"2,699","2,214,544",121.9,137.8,,,,,,
2006,San Diego,12,Urinary Tract Infection,"2,688","2,229,606",120.6,135.7,,,,,,
2007,San Diego,12,Urinary Tract Infection,"2,984","2,257,236",132.2,147.6,,,,,,
2008,San Diego,12,Urinary Tract Infection,"3,055","2,296,616",133,147.5,,,,,,
2009,San Diego,12,Urinary Tract Infection,"3,152","2,332,413",135.1,149.1,,,,,,
2010,San Diego,12,Urinary Tract Infection,"2,941","2,372,232",124,136.3,,,,,,
2011,San Diego,12,Urinary Tract Infection,"3,068","2,407,960",127.4,139.3,,,,,,
2012,San Diego,12,Urinary Tract Infection,"3,115","2,359,002",132,140.3,,,,,,
2013,San Diego,12,Urinary Tract Infection,"3,002","2,394,181",125.4,132.3,,,,,,
2014,San Diego,12,Urinary Tract Infection,"2,920","2,438,827",119.7,127.6,,,,,,
2015,San Diego,12,Urinary Tract Infection,"2,017","1,829,497",110.2,113.7,,,,,,
2016,San Diego,12,Urinary Tract Infection,,,,,"2,470","2,578,429",95.8,130.1,,
2017,San Diego,12,Urinary Tract Infection,,,,,"2,042","2,594,503",78.7,105.6,,
2018,San Diego,12,Urinary Tract Infection,,,,,"2,034","2,613,158",77.8,103.4,,
2019,San Diego,12,Urinary Tract Infection,,,,,"2,225","2,617,719",85,111.2,,
2020,San Diego,12,Urinary Tract Infection,,,,,"1,700","2,596,212",65.5,86,,
2021,San Diego,12,Urinary Tract Infection,,,,,"1,929","2,586,078",74.6,96.9,,
2022,San Diego,12,Urinary Tract Infection,,,,,"2,036","2,596,582",78.4,100.4,,
2023,San Diego,12,Urinary Tract Infection,,,,,"2,140","2,594,848",82.5,98.4,,
2024,San Diego,12,Urinary Tract Infection,,,,,"2,564","2,627,206",97.6,114.9,,
2005,San Francisco,12,Urinary Tract Infection,764,"655,221",116.6,121.6,,,,,,
2006,San Francisco,12,Urinary Tract Infection,702,"661,295",106.2,111.1,,,,,,
2007,San Francisco,12,Urinary Tract Infection,793,"670,554",118.3,123.7,,,,,,
2008,San Francisco,12,Urinary Tract Infection,906,"682,007",132.8,139.2,,,,,,
2009,San Francisco,12,Urinary Tract Infection,842,"691,485",121.8,127.8,,,,,,
2010,San Francisco,12,Urinary Tract Infection,881,"694,816",126.8,131.7,,,,,,
2011,San Francisco,12,Urinary Tract Infection,780,"701,321",111.2,115.1,,,,,,
2012,San Francisco,12,Urinary Tract Infection,727,"704,143",103.2,106.4,,,,,,
2013,San Francisco,12,Urinary Tract Infection,699,"712,976",98,100.6,,,,,,
2014,San Francisco,12,Urinary Tract Infection,629,"709,035",88.7,90.6,,,,,,
2015,San Francisco,12,Urinary Tract Infection,454,"548,383",82.8,84.6,,,,,,
2016,San Francisco,12,Urinary Tract Infection,,,,,504,"754,286",66.8,86.4,,
2017,San Francisco,12,Urinary Tract Infection,,,,,453,"759,469",59.6,76.5,,
2018,San Francisco,12,Urinary Tract Infection,,,,,441,"761,819",57.9,73.5,,
2019,San Francisco,12,Urinary Tract Infection,,,,,450,"761,456",59.1,74,,
2020,San Francisco,12,Urinary Tract Infection,,,,,327,"753,211",43.4,54.4,,
2021,San Francisco,12,Urinary Tract Infection,,,,,325,"698,408",46.5,54.3,,
2022,San Francisco,12,Urinary Tract Infection,,,,,352,"697,737",50.4,57.9,,
2023,San Francisco,12,Urinary Tract Infection,,,,,457,"698,599",65.4,60.7,,
2024,San Francisco,12,Urinary Tract Infection,,,,,456,"715,769",63.7,68.6,,
2005,San Joaquin,12,Urinary Tract Infection,677,"458,859",147.5,172.1,,,,,,
2006,San Joaquin,12,Urinary Tract Infection,636,"463,522",137.2,159.7,,,,,,
2007,San Joaquin,12,Urinary Tract Infection,659,"468,057",140.8,162.4,,,,,,
2008,San Joaquin,12,Urinary Tract Infection,736,"471,774",156,178.7,,,,,,
2009,San Joaquin,12,Urinary Tract Infection,770,"478,055",161.1,183.1,,,,,,
2010,San Joaquin,12,Urinary Tract Infection,809,"486,701",166.2,187.9,,,,,,
2011,San Joaquin,12,Urinary Tract Infection,710,"495,680",143.2,160.9,,,,,,
2012,San Joaquin,12,Urinary Tract Infection,716,"482,094",148.5,161.7,,,,,,
2013,San Joaquin,12,Urinary Tract Infection,735,"486,694",151,162.6,,,,,,
2014,San Joaquin,12,Urinary Tract Infection,711,"510,294",139.3,154.5,,,,,,
2015,San Joaquin,12,Urinary Tract Infection,540,"370,942",145.6,152.8,,,,,,
2016,San Joaquin,12,Urinary Tract Infection,,,,,513,"531,056",96.6,114.7,,
2017,San Joaquin,12,Urinary Tract Infection,,,,,496,"539,928",91.9,108.5,,
2018,San Joaquin,12,Urinary Tract Infection,,,,,374,"548,488",68.2,79.8,,
2019,San Joaquin,12,Urinary Tract Infection,,,,,447,"557,068",80.2,93.2,,
2020,San Joaquin,12,Urinary Tract Infection,,,,,318,"572,510",55.5,65,,
2021,San Joaquin,12,Urinary Tract Infection,,,,,298,"580,225",51.4,60.2,,
2022,San Joaquin,12,Urinary Tract Infection,,,,,364,"586,031",62.1,72,,
2023,San Joaquin,12,Urinary Tract Infection,,,,,429,"593,491",72.3,78.7,,
2024,San Joaquin,12,Urinary Tract Infection,,,,,422,"609,323",69.3,73.7,,
2005,San Luis Obispo,12,Urinary Tract Infection,241,"203,693",118.3,115.6,,,,,,
2006,San Luis Obispo,12,Urinary Tract Infection,239,"205,958",116,112.8,,,,,,
2007,San Luis Obispo,12,Urinary Tract Infection,307,"208,250",147.4,141.5,,,,,,
2008,San Luis Obispo,12,Urinary Tract Infection,287,"211,458",135.7,129.5,,,,,,
2009,San Luis Obispo,12,Urinary Tract Infection,247,"213,363",115.8,109.4,,,,,,
2010,San Luis Obispo,12,Urinary Tract Infection,254,"215,558",117.8,110.6,,,,,,
2011,San Luis Obispo,12,Urinary Tract Infection,240,"216,909",110.6,102.3,,,,,,
2012,San Luis Obispo,12,Urinary Tract Infection,211,"212,867",99.1,89.3,,,,,,
2013,San Luis Obispo,12,Urinary Tract Infection,178,"214,971",82.8,73.6,,,,,,
2014,San Luis Obispo,12,Urinary Tract Infection,176,"220,837",79.7,71.9,,,,,,
2015,San Luis Obispo,12,Urinary Tract Infection,157,"162,048",96.9,83.6,,,,,,
2016,San Luis Obispo,12,Urinary Tract Infection,,,,,215,"231,170",93,108.6,,
2017,San Luis Obispo,12,Urinary Tract Infection,,,,,200,"232,214",86.1,99.5,,
2018,San Luis Obispo,12,Urinary Tract Infection,,,,,209,"233,392",89.5,102.2,,
2019,San Luis Obispo,12,Urinary Tract Infection,,,,,195,"233,238",83.6,93.7,,
2020,San Luis Obispo,12,Urinary Tract Infection,,,,,140,"232,664",60.2,67.1,,
2021,San Luis Obispo,12,Urinary Tract Infection,,,,,153,"230,595",66.4,72.5,,
2022,San Luis Obispo,12,Urinary Tract Infection,,,,,175,"234,072",74.8,80.7,,
2023,San Luis Obispo,12,Urinary Tract Infection,,,,,198,"233,172",84.9,74.5,,
2024,San Luis Obispo,12,Urinary Tract Infection,,,,,186,"233,591",79.6,73.7,,
2005,San Mateo,12,Urinary Tract Infection,553,"535,835",103.2,103.9,,,,,,
2006,San Mateo,12,Urinary Tract Infection,531,"536,688",98.9,99,,,,,,
2007,San Mateo,12,Urinary Tract Infection,646,"540,450",119.5,118.8,,,,,,
2008,San Mateo,12,Urinary Tract Infection,630,"548,332",114.9,114,,,,,,
2009,San Mateo,12,Urinary Tract Infection,662,"556,343",119,117.8,,,,,,
2010,San Mateo,12,Urinary Tract Infection,670,"561,671",119.3,117.4,,,,,,
2011,San Mateo,12,Urinary Tract Infection,543,"567,914",95.6,93.4,,,,,,
2012,San Mateo,12,Urinary Tract Infection,484,"563,760",85.9,82.1,,,,,,
2013,San Mateo,12,Urinary Tract Infection,554,"572,187",96.8,92.5,,,,,,
2014,San Mateo,12,Urinary Tract Infection,480,"567,038",84.7,80.2,,,,,,
2015,San Mateo,12,Urinary Tract Infection,329,"438,734",75,70.5,,,,,,
2016,San Mateo,12,Urinary Tract Infection,,,,,369,"606,370",60.9,85.2,,
2017,San Mateo,12,Urinary Tract Infection,,,,,343,"609,125",56.3,78.1,,
2018,San Mateo,12,Urinary Tract Infection,,,,,269,"611,107",44,60.2,,
2019,San Mateo,12,Urinary Tract Infection,,,,,320,"610,464",52.4,70.6,,
2020,San Mateo,12,Urinary Tract Infection,,,,,237,"610,380",38.8,52.8,,
2021,San Mateo,12,Urinary Tract Infection,,,,,289,"594,122",48.6,63.9,,
2022,San Mateo,12,Urinary Tract Infection,,,,,292,"588,683",49.6,63.3,,
2023,San Mateo,12,Urinary Tract Infection,,,,,313,"587,135",53.3,54.4,,
2024,San Mateo,12,Urinary Tract Infection,,,,,366,"602,707",60.7,61.8,,
2005,Santa Barbara,12,Urinary Tract Infection,362,"306,606",118.1,119.5,,,,,,
2006,Santa Barbara,12,Urinary Tract Infection,392,"307,420",127.5,128.2,,,,,,
2007,Santa Barbara,12,Urinary Tract Infection,402,"310,281",129.6,129.1,,,,,,
2008,Santa Barbara,12,Urinary Tract Infection,374,"314,006",119.1,117.8,,,,,,
2009,Santa Barbara,12,Urinary Tract Infection,356,"317,734",112,110.6,,,,,,
2010,Santa Barbara,12,Urinary Tract Infection,329,"321,346",102.4,101,,,,,,
2011,Santa Barbara,12,Urinary Tract Infection,345,"323,344",106.7,104.3,,,,,,
2012,Santa Barbara,12,Urinary Tract Infection,336,"314,909",106.7,101.3,,,,,,
2013,Santa Barbara,12,Urinary Tract Infection,343,"319,459",107.4,101.3,,,,,,
2014,Santa Barbara,12,Urinary Tract Infection,360,"324,453",111,105.8,,,,,,
2015,Santa Barbara,12,Urinary Tract Infection,255,"241,070",105.8,97.6,,,,,,
2016,Santa Barbara,12,Urinary Tract Infection,,,,,259,"344,335",75.2,92.7,,
2017,Santa Barbara,12,Urinary Tract Infection,,,,,218,"345,601",63.1,77.1,,
2018,Santa Barbara,12,Urinary Tract Infection,,,,,215,"346,132",62.1,75.3,,
2019,Santa Barbara,12,Urinary Tract Infection,,,,,188,"346,808",54.2,65,,
2020,Santa Barbara,12,Urinary Tract Infection,,,,,144,"349,310",41.2,49,,
2021,Santa Barbara,12,Urinary Tract Infection,,,,,207,"339,478",61,70.5,,
2022,Santa Barbara,12,Urinary Tract Infection,,,,,203,"346,432",58.6,67.9,,
2023,Santa Barbara,12,Urinary Tract Infection,,,,,260,"343,138",75.8,60.9,,
2024,Santa Barbara,12,Urinary Tract Infection,,,,,275,"345,929",79.5,78.2,,
2005,Santa Clara,12,Urinary Tract Infection,"1,287","1,267,009",101.6,122.3,,,,,,
2006,Santa Clara,12,Urinary Tract Infection,"1,378","1,280,352",107.6,128.1,,,,,,
2007,Santa Clara,12,Urinary Tract Infection,"1,448","1,297,418",111.6,131.5,,,,,,
2008,Santa Clara,12,Urinary Tract Infection,"1,552","1,319,407",117.6,137.4,,,,,,
2009,Santa Clara,12,Urinary Tract Infection,"1,583","1,339,490",118.2,136.7,,,,,,
2010,Santa Clara,12,Urinary Tract Infection,"1,501","1,357,407",110.6,126.5,,,,,,
2011,Santa Clara,12,Urinary Tract Infection,"1,295","1,377,352",94,106,,,,,,
2012,Santa Clara,12,Urinary Tract Infection,"1,303","1,358,776",95.9,105.2,,,,,,
2013,Santa Clara,12,Urinary Tract Infection,"1,329","1,383,328",96.1,104.3,,,,,,
2014,Santa Clara,12,Urinary Tract Infection,"1,259","1,385,342",90.9,98.5,,,,,,
2015,Santa Clara,12,Urinary Tract Infection,"1,028","1,063,381",96.7,102.3,,,,,,
2016,Santa Clara,12,Urinary Tract Infection,,,,,"1,353","1,493,296",90.6,145,,
2017,Santa Clara,12,Urinary Tract Infection,,,,,"1,151","1,501,944",76.6,120.9,,
2018,Santa Clara,12,Urinary Tract Infection,,,,,993,"1,508,214",65.8,102.3,,
2019,Santa Clara,12,Urinary Tract Infection,,,,,945,"1,507,624",62.7,95.8,,
2020,Santa Clara,12,Urinary Tract Infection,,,,,662,"1,520,713",43.5,66.9,,
2021,Santa Clara,12,Urinary Tract Infection,,,,,741,"1,493,505",49.6,74.2,,
2022,Santa Clara,12,Urinary Tract Infection,,,,,886,"1,490,785",59.4,86.9,,
2023,Santa Clara,12,Urinary Tract Infection,,,,,979,"1,503,217",65.1,76.5,,
2024,Santa Clara,12,Urinary Tract Infection,,,,,"1,137","1,552,491",73.2,91.5,,
2005,Santa Cruz,12,Urinary Tract Infection,206,"193,146",106.7,122.7,,,,,,
2006,Santa Cruz,12,Urinary Tract Infection,215,"193,902",110.9,126.6,,,,,,
2007,Santa Cruz,12,Urinary Tract Infection,258,"195,548",131.9,148.9,,,,,,
2008,Santa Cruz,12,Urinary Tract Infection,286,"198,374",144.2,161.6,,,,,,
2009,Santa Cruz,12,Urinary Tract Infection,203,"201,450",100.8,112.2,,,,,,
2010,Santa Cruz,12,Urinary Tract Infection,229,"204,227",112.1,124.9,,,,,,
2011,Santa Cruz,12,Urinary Tract Infection,255,"205,429",124.1,135.6,,,,,,
2012,Santa Cruz,12,Urinary Tract Infection,223,"200,670",111.1,118.8,,,,,,
2013,Santa Cruz,12,Urinary Tract Infection,185,"203,323",91,95.8,,,,,,
2014,Santa Cruz,12,Urinary Tract Infection,230,"204,815",112.3,119.6,,,,,,
2015,Santa Cruz,12,Urinary Tract Infection,200,"153,534",130.3,133,,,,,,
2016,Santa Cruz,12,Urinary Tract Infection,,,,,222,"220,533",100.7,140.1,,
2017,Santa Cruz,12,Urinary Tract Infection,,,,,209,"221,467",94.4,129.2,,
2018,Santa Cruz,12,Urinary Tract Infection,,,,,183,"221,191",82.7,110.6,,
2019,Santa Cruz,12,Urinary Tract Infection,,,,,160,"221,177",72.3,94.3,,
2020,Santa Cruz,12,Urinary Tract Infection,,,,,114,"219,748",51.9,67,,
2021,Santa Cruz,12,Urinary Tract Infection,,,,,141,"211,376",66.7,82.1,,
2022,Santa Cruz,12,Urinary Tract Infection,,,,,127,"216,642",58.6,71.8,,
2023,Santa Cruz,12,Urinary Tract Infection,,,,,196,"214,446",91.4,100,,
2024,Santa Cruz,12,Urinary Tract Infection,,,,,210,"216,210",97.1,87.5,,
2005,Shasta,12,Urinary Tract Infection,221,"133,597",165.4,152.2,,,,,,
2006,Shasta,12,Urinary Tract Infection,246,"134,702",182.6,167.5,,,,,,
2007,Shasta,12,Urinary Tract Infection,249,"135,409",183.9,167.2,,,,,,
2008,Shasta,12,Urinary Tract Infection,227,"136,355",166.5,150.6,,,,,,
2009,Shasta,12,Urinary Tract Infection,184,"137,066",134.2,120.4,,,,,,
2010,Shasta,12,Urinary Tract Infection,207,"137,755",150.3,133.2,,,,,,
2011,Shasta,12,Urinary Tract Infection,319,"138,865",229.7,202.2,,,,,,
2012,Shasta,12,Urinary Tract Infection,295,"137,373",214.7,184.1,,,,,,
2013,Shasta,12,Urinary Tract Infection,268,"138,135",194,165,,,,,,
2014,Shasta,12,Urinary Tract Infection,255,"142,262",179.2,154.6,,,,,,
2015,Shasta,12,Urinary Tract Infection,141,"104,057",135.5,112.2,,,,,,
2016,Shasta,12,Urinary Tract Infection,,,,,188,"139,962",134.3,121,,
2017,Shasta,12,Urinary Tract Infection,,,,,163,"140,641",115.9,103.9,,
2018,Shasta,12,Urinary Tract Infection,,,,,151,"141,047",107.1,95,,
2019,Shasta,12,Urinary Tract Infection,,,,,139,"140,906",98.6,86.9,,
2020,Shasta,12,Urinary Tract Infection,,,,,136,"142,704",95.3,83.8,,
2021,Shasta,12,Urinary Tract Infection,,,,,146,"142,767",102.3,89.8,,
2022,Shasta,12,Urinary Tract Infection,,,,,107,"142,098",75.3,65.1,,
2023,Shasta,12,Urinary Tract Infection,,,,,158,"141,552",111.6,94.8,,
2024,Shasta,12,Urinary Tract Infection,,,,,155,"142,665",108.6,93.5,,
2005,Sierra,12,Urinary Tract Infection,3,"2,724",110.1,96.5,,,,,,
2006,Sierra,12,Urinary Tract Infection,3,"2,774",108.1,97.5,,,,,,
2007,Sierra,12,Urinary Tract Infection,2,"2,756",72.6,65.5,,,,,,
2008,Sierra,12,Urinary Tract Infection,7,"2,742",255.3,235.7,,,,,,
2009,Sierra,12,Urinary Tract Infection,5,"2,687",186.1,164.8,,,,,,
2010,Sierra,12,Urinary Tract Infection,3,"2,692",111.4,98.7,,,,,,
2011,Sierra,12,Urinary Tract Infection,5,"2,613",191.4,167.9,,,,,,
2012,Sierra,12,Urinary Tract Infection,6,"4,609",130.2,161.1,,,,,,
2013,Sierra,12,Urinary Tract Infection,6,"4,566",131.4,159.3,,,,,,
2014,Sierra,12,Urinary Tract Infection,8,"3,692",216.7,240,,,,,,
2015,Sierra,12,Urinary Tract Infection,1,"4,137",24.2,31.6,,,,,,
2016,Sierra,12,Urinary Tract Infection,,,,,2,"2,485",80.5,74,,
2017,Sierra,12,Urinary Tract Infection,,,,,2,"2,518",79.4,70.6,,
2018,Sierra,12,Urinary Tract Infection,,,,,1,"2,471",40.5,35.7,,
2019,Sierra,12,Urinary Tract Infection,,,,,5,"2,459",203.3,172.5,,
2020,Sierra,12,Urinary Tract Infection,,,,,3,"2,680",111.9,98.1,,
2021,Sierra,12,Urinary Tract Infection,,,,,1,"2,736",36.5,31.3,,
2022,Sierra,12,Urinary Tract Infection,,,,,3,"2,684",111.8,91.1,,
2023,Sierra,12,Urinary Tract Infection,,,,,3,"2,670",112.4,71.4,,
2024,Sierra,12,Urinary Tract Infection,,,,,1,"2,642",37.9,26.9,,
2005,Siskiyou,12,Urinary Tract Infection,49,"35,143",139.4,117.3,,,,,,
2006,Siskiyou,12,Urinary Tract Infection,44,"35,080",125.4,104.9,,,,,,
2007,Siskiyou,12,Urinary Tract Infection,35,"35,195",99.4,82.3,,,,,,
2008,Siskiyou,12,Urinary Tract Infection,50,"35,541",140.7,116.9,,,,,,
2009,Siskiyou,12,Urinary Tract Infection,52,"35,511",146.4,120.7,,,,,,
2010,Siskiyou,12,Urinary Tract Infection,34,"35,719",95.2,78.4,,,,,,
2011,Siskiyou,12,Urinary Tract Infection,42,"35,459",118.4,96.1,,,,,,
2012,Siskiyou,12,Urinary Tract Infection,43,"36,324",118.4,97.6,,,,,,
2013,Siskiyou,12,Urinary Tract Infection,45,"36,015",124.9,102.2,,,,,,
2014,Siskiyou,12,Urinary Tract Infection,47,"36,411",129.1,105.1,,,,,,
2015,Siskiyou,12,Urinary Tract Infection,37,"27,121",136.4,110.1,,,,,,
2016,Siskiyou,12,Urinary Tract Infection,,,,,28,"34,523",81.1,67.3,,
2017,Siskiyou,12,Urinary Tract Infection,,,,,44,"34,738",126.7,104.6,,
2018,Siskiyou,12,Urinary Tract Infection,,,,,33,"34,764",94.9,77,,
2019,Siskiyou,12,Urinary Tract Infection,,,,,27,"34,876",77.4,61.8,,
2020,Siskiyou,12,Urinary Tract Infection,,,,,25,"35,063",71.3,56.5,,
2021,Siskiyou,12,Urinary Tract Infection,,,,,21,"35,175",59.7,46.6,,
2022,Siskiyou,12,Urinary Tract Infection,,,,,33,"34,974",94.4,71.6,,
2023,Siskiyou,12,Urinary Tract Infection,,,,,28,"34,437",81.3,51.2,,
2024,Siskiyou,12,Urinary Tract Infection,,,,,31,"34,284",90.4,56.8,,
2005,Solano,12,Urinary Tract Infection,361,"301,678",119.7,144.9,,,,,,
2006,Solano,12,Urinary Tract Infection,423,"303,214",139.5,166.6,,,,,,
2007,Solano,12,Urinary Tract Infection,512,"304,287",168.3,198.1,,,,,,
2008,Solano,12,Urinary Tract Infection,465,"306,167",151.9,176.3,,,,,,
2009,Solano,12,Urinary Tract Infection,442,"308,635",143.2,163.8,,,,,,
2010,Solano,12,Urinary Tract Infection,479,"313,165",153,172.8,,,,,,
2011,Solano,12,Urinary Tract Infection,377,"316,734",119,133.5,,,,,,
2012,Solano,12,Urinary Tract Infection,331,"312,400",106,115.3,,,,,,
2013,Solano,12,Urinary Tract Infection,335,"317,212",105.6,112.9,,,,,,
2014,Solano,12,Urinary Tract Infection,306,"320,144",95.6,102.8,,,,,,
2015,Solano,12,Urinary Tract Infection,206,"242,676",84.9,87.7,,,,,,
2016,Solano,12,Urinary Tract Infection,,,,,279,"339,769",82.1,118.5,,
2017,Solano,12,Urinary Tract Infection,,,,,246,"344,415",71.4,101.5,,
2018,Solano,12,Urinary Tract Infection,,,,,224,"347,091",64.5,89.9,,
2019,Solano,12,Urinary Tract Infection,,,,,248,"348,999",71.1,97,,
2020,Solano,12,Urinary Tract Infection,,,,,175,"353,295",49.5,67.8,,
2021,Solano,12,Urinary Tract Infection,,,,,183,"352,161",52,69.9,,
2022,Solano,12,Urinary Tract Infection,,,,,205,"351,591",58.3,76.2,,
2023,Solano,12,Urinary Tract Infection,,,,,242,"351,690",68.8,83.5,,
2024,Solano,12,Urinary Tract Infection,,,,,256,"357,585",71.6,77.6,,
2005,Sonoma,12,Urinary Tract Infection,356,"358,116",99.4,97.6,,,,,,
2006,Sonoma,12,Urinary Tract Infection,403,"358,614",112.4,109.5,,,,,,
2007,Sonoma,12,Urinary Tract Infection,448,"361,223",124,119.6,,,,,,
2008,Sonoma,12,Urinary Tract Infection,416,"366,471",113.5,108.7,,,,,,
2009,Sonoma,12,Urinary Tract Infection,424,"372,373",113.9,108.4,,,,,,
2010,Sonoma,12,Urinary Tract Infection,435,"377,723",115.2,109.4,,,,,,
2011,Sonoma,12,Urinary Tract Infection,405,"381,767",106.1,99.9,,,,,,
2012,Sonoma,12,Urinary Tract Infection,378,"375,444",100.7,92.2,,,,,,
2013,Sonoma,12,Urinary Tract Infection,297,"380,676",78,70.8,,,,,,
2014,Sonoma,12,Urinary Tract Infection,321,"383,621",83.7,76.5,,,,,,
2015,Sonoma,12,Urinary Tract Infection,274,"289,219",94.7,83.9,,,,,,
2016,Sonoma,12,Urinary Tract Infection,,,,,347,"401,275",86.5,109.3,,
2017,Sonoma,12,Urinary Tract Infection,,,,,267,"402,493",66.3,82.4,,
2018,Sonoma,12,Urinary Tract Infection,,,,,286,"399,482",71.6,87.5,,
