Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2021-06,Tulare,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,13JUN2022
2021-06,Tulare,Managed Care,Sequoia PACE/Tulare,,1,Cell suppressed for small numbers,F,13JUN2022
2021-06,Tuolumne,Fee-for-Service,Fee-for-Service,"2,844",,,F,13JUN2022
2021-06,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"6,195",,,F,13JUN2022
2021-06,Tuolumne,Managed Care,California Health and Wellness Plan/Tuolumne,"5,348",,,F,13JUN2022
2021-06,Tuolumne,Managed Care,Out of County Plan,127,,,F,13JUN2022
2021-06,Ventura,Fee-for-Service,Fee-for-Service,"25,443",,,F,13JUN2022
2021-06,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"219,247",,,F,13JUN2022
2021-06,Ventura,Managed Care,Out of County Plan,984,,,F,13JUN2022
2021-06,Yolo,Fee-for-Service,Fee-for-Service,"5,566",,,F,13JUN2022
2021-06,Yolo,Managed Care,Out of County Plan,595,,,F,13JUN2022
2021-06,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"53,766",,,F,13JUN2022
2021-06,Yuba,Fee-for-Service,Fee-for-Service,"6,783",,,F,13JUN2022
2021-06,Yuba,Managed Care,Anthem Blue Cross Partnership Plan/Yuba,"17,670",,,F,13JUN2022
2021-06,Yuba,Managed Care,California Health and Wellness Plan/Yuba,"10,260",,,F,13JUN2022
2021-06,Yuba,Managed Care,InnovAge PACE/Yuba,,1,Cell suppressed for small numbers,F,13JUN2022
2021-06,Yuba,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,13JUN2022
2021-05,Alameda,Fee-for-Service,Fee-for-Service,"95,510",,,F,09MAY2022
2021-05,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"279,631",,,F,09MAY2022
2021-05,Alameda,Managed Care,Anthem Blue Cross Partnership Plan/Alameda,"66,177",,,F,09MAY2022
2021-05,Alameda,Managed Care,Center for Elders Independence/Alameda,754,,,F,09MAY2022
2021-05,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,293,,,F,09MAY2022
2021-05,Alameda,Managed Care,Out of County Plan,"4,164",,,F,09MAY2022
2021-05,Alpine,Fee-for-Service,Fee-for-Service,72,,,F,09MAY2022
2021-05,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,152,,,F,09MAY2022
2021-05,Alpine,Managed Care,California Health and Wellness Plan/Alpine,67,,,F,09MAY2022
2021-05,Alpine,Managed Care,Out of County Plan,11,,,F,09MAY2022
2021-05,Amador,Fee-for-Service,Fee-for-Service,"1,901",,,F,09MAY2022
2021-05,Amador,Managed Care,Anthem Blue Cross Partnership Plan/Amador,"5,406",,,F,09MAY2022
2021-05,Amador,Managed Care,California Health and Wellness Plan/Amador,"1,343",,,F,09MAY2022
2021-05,Amador,Managed Care,Kaiser Permanente/Amador,171,,,F,09MAY2022
2021-05,Amador,Managed Care,Out of County Plan,58,,,F,09MAY2022
2021-05,Butte,Fee-for-Service,Fee-for-Service,"13,806",,,F,09MAY2022
2021-05,Butte,Managed Care,Anthem Blue Cross Partnership Plan/Butte,"23,160",,,F,09MAY2022
2021-05,Butte,Managed Care,California Health and Wellness Plan/Butte,"43,279",,,F,09MAY2022
2021-05,Butte,Managed Care,Out of County Plan,694,,,F,09MAY2022
2021-05,Calaveras,Fee-for-Service,Fee-for-Service,"2,456",,,F,09MAY2022
2021-05,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"5,385",,,F,09MAY2022
2021-05,Calaveras,Managed Care,California Health and Wellness Plan/Calaveras,"5,300",,,F,09MAY2022
2021-05,Calaveras,Managed Care,Out of County Plan,121,,,F,09MAY2022
2021-05,Colusa,Fee-for-Service,Fee-for-Service,"1,933",,,F,09MAY2022
2021-05,Colusa,Managed Care,Anthem Blue Cross Partnership Plan/Colusa,"4,947",,,F,09MAY2022
2021-05,Colusa,Managed Care,California Health and Wellness Plan/Colusa,"3,742",,,F,09MAY2022
2021-05,Colusa,Managed Care,Out of County Plan,155,,,F,09MAY2022
2021-05,Contra Costa,Fee-for-Service,Fee-for-Service,"54,657",,,F,09MAY2022
2021-05,Contra Costa,Managed Care,Anthem Blue Cross/Contra Costa,"31,517",,,F,09MAY2022
2021-05,Contra Costa,Managed Care,Center for Elders Independence/Contra Costa,108,,,F,09MAY2022
2021-05,Contra Costa,Managed Care,Contra Costa Health Plan/Contra Costa,"203,657",,,F,09MAY2022
2021-05,Contra Costa,Managed Care,Out of County Plan,"2,869",,,F,09MAY2022
2021-05,Del Norte,Fee-for-Service,Fee-for-Service,455,,,F,09MAY2022
2021-05,Del Norte,Managed Care,Out of County Plan,80,,,F,09MAY2022
2021-05,Del Norte,Managed Care,Partnership Health Plan of California/Del Norte,"11,880",,,F,09MAY2022
2021-05,El Dorado,Fee-for-Service,Fee-for-Service,"8,042",,,F,09MAY2022
2021-05,El Dorado,Managed Care,Anthem Blue Cross Partnership Plan/El Dorado,"11,591",,,F,09MAY2022
2021-05,El Dorado,Managed Care,California Health and Wellness Plan/El Dorado,"18,510",,,F,09MAY2022
2021-05,El Dorado,Managed Care,InnovAge PACE/El Dorado,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,El Dorado,Managed Care,Kaiser Permanente/El Dorado,"2,609",,,F,09MAY2022
2021-05,El Dorado,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,Fresno,Fee-for-Service,Fee-for-Service,"74,830",,,F,09MAY2022
2021-05,Fresno,Managed Care,Anthem Blue Cross Partnership Plan/Fresno,"122,403",,,F,09MAY2022
2021-05,Fresno,Managed Care,CalViva Health/Fresno,"309,273",,,F,09MAY2022
2021-05,Fresno,Managed Care,"Innovative Integrated Health, Inc/Fresno",947,,,F,09MAY2022
2021-05,Fresno,Managed Care,Out of County Plan,"1,872",,,F,09MAY2022
2021-05,Fresno,Managed Care,Sequoia PACE/Fresno,77,,,F,09MAY2022
2021-05,Glenn,Fee-for-Service,Fee-for-Service,"2,537",,,F,09MAY2022
2021-05,Glenn,Managed Care,Anthem Blue Cross Partnership Plan/Glenn,"2,660",,,F,09MAY2022
2021-05,Glenn,Managed Care,California Health and Wellness Plan/Glenn,"8,188",,,F,09MAY2022
2021-05,Glenn,Managed Care,Out of County Plan,115,,,F,09MAY2022
2021-05,Humboldt,Fee-for-Service,Fee-for-Service,"2,765",,,F,09MAY2022
2021-05,Humboldt,Managed Care,"Humboldt Senior Resource Center, Inc./Humboldt",215,,,F,09MAY2022
2021-05,Humboldt,Managed Care,Out of County Plan,334,,,F,09MAY2022
2021-05,Humboldt,Managed Care,Partnership Health Plan of California/Humboldt,"56,315",,,F,09MAY2022
2021-05,Imperial,Fee-for-Service,Fee-for-Service,"15,519",,,F,09MAY2022
2021-05,Imperial,Managed Care,California Health and Wellness Plan/Imperial,"66,855",,,F,09MAY2022
2021-05,Imperial,Managed Care,Molina Healthcare of California/Imperial,"15,227",,,F,09MAY2022
2021-05,Imperial,Managed Care,Out of County Plan,345,,,F,09MAY2022
2021-05,Inyo,Fee-for-Service,Fee-for-Service,"1,759",,,F,09MAY2022
2021-05,Inyo,Managed Care,Anthem Blue Cross Partnership Plan/Inyo,"2,461",,,F,09MAY2022
2021-05,Inyo,Managed Care,California Health and Wellness Plan/Inyo,"1,897",,,F,09MAY2022
2021-05,Inyo,Managed Care,Out of County Plan,36,,,F,09MAY2022
2021-05,Kern,Fee-for-Service,Fee-for-Service,"86,193",,,F,09MAY2022
2021-05,Kern,Managed Care,Health Net Community Solutions/Kern,"71,039",,,F,09MAY2022
2021-05,Kern,Managed Care,"IIH, Inc dba Bakersfield PACE/Kern",133,,,F,09MAY2022
2021-05,Kern,Managed Care,Kern Health Systems/Kern,"297,807",,,F,09MAY2022
2021-05,Kern,Managed Care,Out of County Plan,"1,740",,,F,09MAY2022
2021-05,Kings,Fee-for-Service,Fee-for-Service,"10,411",,,F,09MAY2022
2021-05,Kings,Managed Care,Anthem Blue Cross Partnership Plan/Kings,"21,137",,,F,09MAY2022
2021-05,Kings,Managed Care,CalViva Health/Kings,"32,196",,,F,09MAY2022
2021-05,Kings,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,Kings,Managed Care,Sequoia PACE/Kings,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,Lake,Fee-for-Service,Fee-for-Service,"1,917",,,F,09MAY2022
2021-05,Lake,Managed Care,Out of County Plan,316,,,F,09MAY2022
2021-05,Lake,Managed Care,Partnership Health Plan of California/Lake,"32,040",,,F,09MAY2022
2021-05,Lassen,Fee-for-Service,Fee-for-Service,645,,,F,09MAY2022
2021-05,Lassen,Managed Care,Out of County Plan,222,,,F,09MAY2022
2021-05,Lassen,Managed Care,Partnership Health Plan of California/Lassen,"7,800",,,F,09MAY2022
2021-05,Los Angeles,Fee-for-Service,Fee-for-Service,"810,490",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,AIDS Healthcare Foundation/Los Angeles,704,,,F,09MAY2022
2021-05,Los Angeles,Managed Care,AltaMed Health Sr. Buena Care/Los Angeles,"3,092",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Anthem Blue Cross (CMC)/Los Angeles,"2,051",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Blue Shield of California Promise (CMC)/Los Angeles,"2,679",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Brandman Centers for Senior Care/Los Angeles,246,,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Health Net Community Solutions (CMC)/Los Angeles,"6,518",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Health Net Community Solutions/Los Angeles,"981,771",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,L.A. Care Health Plan (CMC)/Los Angeles,"18,407",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,L.A. Care Health Plan/Los Angeles,"2,242,289",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,LA Coast PACE/Los Angeles,119,,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Molina Healthcare of California (CMC)/Los Angeles,"1,472",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Out of County Plan,"23,200",,,F,09MAY2022
2021-05,Los Angeles,Managed Care,Pacific PACE/Los Angeles,185,,,F,09MAY2022
2021-05,Los Angeles,Managed Care,SCAN Health Plan/Los Angeles,"9,978",,,F,09MAY2022
2021-05,Madera,Fee-for-Service,Fee-for-Service,"14,317",,,F,09MAY2022
2021-05,Madera,Managed Care,Anthem Blue Cross Partnership Plan/Madera,"22,836",,,F,09MAY2022
2021-05,Madera,Managed Care,CalViva Health/Madera,"40,844",,,F,09MAY2022
2021-05,Madera,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,Madera,Managed Care,Sequoia PACE/Madera,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,Marin,Fee-for-Service,Fee-for-Service,"8,258",,,F,09MAY2022
2021-05,Marin,Managed Care,Out of County Plan,552,,,F,09MAY2022
2021-05,Marin,Managed Care,Partnership Health Plan of California/Marin,"42,544",,,F,09MAY2022
2021-05,Mariposa,Fee-for-Service,Fee-for-Service,"1,099",,,F,09MAY2022
2021-05,Mariposa,Managed Care,Anthem Blue Cross Partnership Plan/Mariposa,"3,618",,,F,09MAY2022
2021-05,Mariposa,Managed Care,California Health and Wellness Plan/Mariposa,889,,,F,09MAY2022
2021-05,Mariposa,Managed Care,Out of County Plan,97,,,F,09MAY2022
2021-05,Mendocino,Fee-for-Service,Fee-for-Service,"3,072",,,F,09MAY2022
2021-05,Mendocino,Managed Care,Out of County Plan,411,,,F,09MAY2022
2021-05,Mendocino,Managed Care,Partnership Health Plan of California/Mendocino,"37,994",,,F,09MAY2022
2021-05,Merced,Fee-for-Service,Fee-for-Service,"12,174",,,F,09MAY2022
2021-05,Merced,Managed Care,Central California Alliance for Health/Merced,"132,361",,,F,09MAY2022
2021-05,Merced,Managed Care,Out of County Plan,527,,,F,09MAY2022
2021-05,Modoc,Fee-for-Service,Fee-for-Service,170,,,F,09MAY2022
2021-05,Modoc,Managed Care,Out of County Plan,70,,,F,09MAY2022
2021-05,Modoc,Managed Care,Partnership Health Plan of California/Modoc,"3,365",,,F,09MAY2022
2021-05,Mono,Fee-for-Service,Fee-for-Service,666,,,F,09MAY2022
2021-05,Mono,Managed Care,Anthem Blue Cross Partnership Plan/Mono,"1,883",,,F,09MAY2022
2021-05,Mono,Managed Care,California Health and Wellness Plan/Mono,928,,,F,09MAY2022
2021-05,Mono,Managed Care,Out of County Plan,157,,,F,09MAY2022
2021-05,Monterey,Fee-for-Service,Fee-for-Service,"37,439",,,F,09MAY2022
2021-05,Monterey,Managed Care,Central California Alliance for Health/Monterey,"166,159",,,F,09MAY2022
2021-05,Monterey,Managed Care,Out of County Plan,939,,,F,09MAY2022
2021-05,Napa,Fee-for-Service,Fee-for-Service,"4,274",,,F,09MAY2022
2021-05,Napa,Managed Care,Out of County Plan,421,,,F,09MAY2022
2021-05,Napa,Managed Care,Partnership Health Plan of California/Napa,"30,803",,,F,09MAY2022
2021-05,Nevada,Fee-for-Service,Fee-for-Service,"4,816",,,F,09MAY2022
2021-05,Nevada,Managed Care,Anthem Blue Cross Partnership Plan/Nevada,"12,985",,,F,09MAY2022
2021-05,Nevada,Managed Care,California Health and Wellness Plan/Nevada,"9,060",,,F,09MAY2022
2021-05,Nevada,Managed Care,Out of County Plan,332,,,F,09MAY2022
2021-05,Orange,Fee-for-Service,Fee-for-Service,"115,525",,,F,09MAY2022
2021-05,Orange,Managed Care,AltaMed Senior Buena Care/Orange,54,,,F,09MAY2022
2021-05,Orange,Managed Care,CalOptima (CMC)/Orange,"14,727",,,F,09MAY2022
2021-05,Orange,Managed Care,CalOptima PACE/Orange,398,,,F,09MAY2022
2021-05,Orange,Managed Care,CalOptima/Orange,"810,661",,,F,09MAY2022
2021-05,Orange,Managed Care,Out of County Plan,"3,245",,,F,09MAY2022
2021-05,Placer,Fee-for-Service,Fee-for-Service,"14,210",,,F,09MAY2022
2021-05,Placer,Managed Care,Anthem Blue Cross Partnership Plan/Placer,"32,765",,,F,09MAY2022
2021-05,Placer,Managed Care,California Health and Wellness Plan/Placer,"10,810",,,F,09MAY2022
2021-05,Placer,Managed Care,InnovAge PACE/Placer,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,Placer,Managed Care,Kaiser Permanente/Placer,"10,202",,,F,09MAY2022
2021-05,Placer,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,Plumas,Fee-for-Service,Fee-for-Service,"1,247",,,F,09MAY2022
2021-05,Plumas,Managed Care,Anthem Blue Cross Partnership Plan/Plumas,"2,816",,,F,09MAY2022
2021-05,Plumas,Managed Care,California Health and Wellness Plan/Plumas,"2,672",,,F,09MAY2022
2021-05,Plumas,Managed Care,Out of County Plan,87,,,F,09MAY2022
2021-05,Riverside,Fee-for-Service,Fee-for-Service,"120,572",,,F,09MAY2022
2021-05,Riverside,Managed Care,Inland Empire Health Plan (CMC)/Riverside,"15,198",,,F,09MAY2022
2021-05,Riverside,Managed Care,Inland Empire Health Plan/Riverside,"686,940",,,F,09MAY2022
2021-05,Riverside,Managed Care,InnovAge PACE/Riverside,304,,,F,09MAY2022
2021-05,Riverside,Managed Care,Molina Healthcare of California (CMC)/Riverside,"1,546",,,F,09MAY2022
2021-05,Riverside,Managed Care,Molina Healthcare of California/Riverside,"91,295",,,F,09MAY2022
2021-05,Riverside,Managed Care,Out of County Plan,"8,205",,,F,09MAY2022
2021-05,Riverside,Managed Care,SCAN Health Plan/Riverside,"2,548",,,F,09MAY2022
2021-05,STATEWIDE,STATEWIDE,STATEWIDE,"13,993,459",,Statewide Total by MOE,F,09MAY2022
2021-05,Sacramento,Fee-for-Service,Fee-for-Service,"101,434",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Aetna Better Health/Sacramento,"14,417",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Anthem Blue Cross/Sacramento,"193,624",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Health Net Community Solutions/Sacramento,"118,778",,,F,09MAY2022
2021-05,Sacramento,Managed Care,InnovAge PACE/Sacramento,120,,,F,09MAY2022
2021-05,Sacramento,Managed Care,Kaiser Permanente/Sacramento,"101,283",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Molina Healthcare of California/Sacramento,"52,572",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Out of County Plan,"3,860",,,F,09MAY2022
2021-05,Sacramento,Managed Care,Sutter SeniorCare/Sacramento,432,,,F,09MAY2022
2021-05,San Benito,Fee-for-Service,Fee-for-Service,"10,057",,,F,09MAY2022
2021-05,San Benito,Managed Care,Anthem Blue Cross/San Benito,"9,280",,,F,09MAY2022
2021-05,San Benito,Managed Care,Out of County Plan,203,,,F,09MAY2022
2021-05,San Bernardino,Fee-for-Service,Fee-for-Service,"150,755",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,Inland Empire Health Plan (CMC)/San Bernardino,"14,848",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,Inland Empire Health Plan/San Bernardino,"667,347",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,InnovAge PACE/San Bernardino,714,,,F,09MAY2022
2021-05,San Bernardino,Managed Care,Molina Healthcare of California (CMC)/San Bernardino,"1,363",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,Molina Healthcare of California/San Bernardino,"73,681",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,Out of County Plan,"8,637",,,F,09MAY2022
2021-05,San Bernardino,Managed Care,SCAN Health Plan/San Bernardino,"1,762",,,F,09MAY2022
2021-05,San Diego,Fee-for-Service,Fee-for-Service,"124,946",,,F,09MAY2022
2021-05,San Diego,Managed Care,Aetna Better Health/San Diego,"20,117",,,F,09MAY2022
2021-05,San Diego,Managed Care,Blue Shield of California Promise (CMC)/San Diego,"2,477",,,F,09MAY2022
2021-05,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"106,232",,,F,09MAY2022
2021-05,San Diego,Managed Care,Community Health Group (CMC)/San Diego,"6,829",,,F,09MAY2022
2021-05,San Diego,Managed Care,Community Health Group/San Diego,"289,402",,,F,09MAY2022
2021-05,San Diego,Managed Care,Family Health Centers of San Diego/San Diego,133,,,F,09MAY2022
2021-05,San Diego,Managed Care,Gary and Mary West PACE of N. San Diego/San Diego,134,,,F,09MAY2022
2021-05,San Diego,Managed Care,Health Net Community Solutions (CMC)/San Diego,"1,265",,,F,09MAY2022
2021-05,San Diego,Managed Care,Health Net Community Solutions/San Diego,"77,563",,,F,09MAY2022
2021-05,San Diego,Managed Care,Kaiser Permanente/San Diego,"58,161",,,F,09MAY2022
2021-05,San Diego,Managed Care,Molina Healthcare of California (CMC)/San Diego,"3,401",,,F,09MAY2022
2021-05,San Diego,Managed Care,Molina Healthcare of California/San Diego,"223,517",,,F,09MAY2022
2021-05,San Diego,Managed Care,Out of County Plan,"3,269",,,F,09MAY2022
2021-05,San Diego,Managed Care,Rady Childrens Hosp/San Diego,382,,,F,09MAY2022
2021-05,San Diego,Managed Care,San Diego PACE/San Diego,"1,505",,,F,09MAY2022
2021-05,San Diego,Managed Care,St. Paul's PACE/San Diego,"1,084",,,F,09MAY2022
2021-05,San Diego,Managed Care,UnitedHealthCare/San Diego,"23,139",,,F,09MAY2022
2021-05,San Francisco,Fee-for-Service,Fee-for-Service,"57,100",,,F,09MAY2022
2021-05,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"20,481",,,F,09MAY2022
2021-05,San Francisco,Managed Care,Family Mosaic Project/San Francisco,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,San Francisco,Managed Care,North East Medical Services PACE/San Francisco,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,"1,020",,,F,09MAY2022
2021-05,San Francisco,Managed Care,Out of County Plan,"1,936",,,F,09MAY2022
2021-05,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"147,098",,,F,09MAY2022
2021-05,San Joaquin,Fee-for-Service,Fee-for-Service,"53,325",,,F,09MAY2022
2021-05,San Joaquin,Managed Care,Central PACE/San Joaquin,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"21,718",,,F,09MAY2022
2021-05,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"230,423",,,F,09MAY2022
2021-05,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,San Joaquin,Managed Care,Out of County Plan,"1,165",,,F,09MAY2022
2021-05,San Joaquin,Managed Care,Stockton PACE/San Joaquin,249,,,F,09MAY2022
2021-05,San Luis Obispo,Fee-for-Service,Fee-for-Service,"4,942",,,F,09MAY2022
2021-05,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"58,872",,,F,09MAY2022
2021-05,San Luis Obispo,Managed Care,Out of County Plan,512,,,F,09MAY2022
2021-05,San Mateo,Fee-for-Service,Fee-for-Service,"27,205",,,F,09MAY2022
2021-05,San Mateo,Managed Care,Health Plan of San Mateo (CMC)/San Mateo,"8,736",,,F,09MAY2022
2021-05,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"116,865",,,F,09MAY2022
2021-05,San Mateo,Managed Care,Out of County Plan,864,,,F,09MAY2022
2021-05,Santa Barbara,Fee-for-Service,Fee-for-Service,"20,696",,,F,09MAY2022
2021-05,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"140,467",,,F,09MAY2022
2021-05,Santa Barbara,Managed Care,Out of County Plan,817,,,F,09MAY2022
2021-05,Santa Clara,Fee-for-Service,Fee-for-Service,"70,076",,,F,09MAY2022
2021-05,Santa Clara,Managed Care,Anthem Blue Cross (CMC)/Santa Clara,"1,771",,,F,09MAY2022
2021-05,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"72,947",,,F,09MAY2022
2021-05,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,352,,,F,09MAY2022
2021-05,Santa Clara,Managed Care,Out of County Plan,"2,079",,,F,09MAY2022
2021-05,Santa Clara,Managed Care,Santa Clara Family Health Plan (CMC)/Santa Clara,"9,818",,,F,09MAY2022
2021-05,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"270,273",,,F,09MAY2022
2021-05,Santa Cruz,Fee-for-Service,Fee-for-Service,"8,528",,,F,09MAY2022
2021-05,Santa Cruz,Managed Care,Central California Alliance for Health/Santa Cruz,"72,230",,,F,09MAY2022
2021-05,Santa Cruz,Managed Care,Out of County Plan,911,,,F,09MAY2022
2021-05,Shasta,Fee-for-Service,Fee-for-Service,"3,017",,,F,09MAY2022
2021-05,Shasta,Managed Care,Out of County Plan,573,,,F,09MAY2022
2021-05,Shasta,Managed Care,Partnership Health Plan of California/Shasta,"64,388",,,F,09MAY2022
2021-05,Sierra,Fee-for-Service,Fee-for-Service,206,,,F,09MAY2022
2021-05,Sierra,Managed Care,Anthem Blue Cross Partnership Plan/Sierra,368,,,F,09MAY2022
2021-05,Sierra,Managed Care,California Health and Wellness Plan/Sierra,223,,,F,09MAY2022
2021-05,Sierra,Managed Care,Out of County Plan,7,,,F,09MAY2022
2021-05,Siskiyou,Fee-for-Service,Fee-for-Service,883,,,F,09MAY2022
2021-05,Siskiyou,Managed Care,Out of County Plan,474,,,F,09MAY2022
2021-05,Siskiyou,Managed Care,Partnership Health Plan of California/Siskiyou,"18,243",,,F,09MAY2022
2021-05,Solano,Fee-for-Service,Fee-for-Service,"10,929",,,F,09MAY2022
2021-05,Solano,Managed Care,Out of County Plan,"1,183",,,F,09MAY2022
2021-05,Solano,Managed Care,Partnership Health Plan of California/Solano,"118,016",,,F,09MAY2022
2021-05,Sonoma,Fee-for-Service,Fee-for-Service,"12,871",,,F,09MAY2022
2021-05,Sonoma,Managed Care,Out of County Plan,854,,,F,09MAY2022
2021-05,Sonoma,Managed Care,Partnership Health Plan of California/Sonoma,"114,308",,,F,09MAY2022
2021-05,Stanislaus,Fee-for-Service,Fee-for-Service,"42,542",,,F,09MAY2022
2021-05,Stanislaus,Managed Care,Central PACE/Stanislaus,74,,,F,09MAY2022
2021-05,Stanislaus,Managed Care,Health Net Community Solutions/Stanislaus,"62,466",,,F,09MAY2022
2021-05,Stanislaus,Managed Care,Health Plan of San Joaquin/Stanislaus,"143,825",,,F,09MAY2022
2021-05,Stanislaus,Managed Care,Out of County Plan,"1,464",,,F,09MAY2022
2021-05,Stanislaus,Managed Care,Stockton PACE/Stanislaus,42,,,F,09MAY2022
2021-05,Sutter,Fee-for-Service,Fee-for-Service,"8,547",,,F,09MAY2022
2021-05,Sutter,Managed Care,Anthem Blue Cross Partnership Plan/Sutter,"22,393",,,F,09MAY2022
2021-05,Sutter,Managed Care,California Health and Wellness Plan/Sutter,"12,214",,,F,09MAY2022
2021-05,Sutter,Managed Care,Out of County Plan,402,,,F,09MAY2022
2021-05,Tehama,Fee-for-Service,Fee-for-Service,"6,074",,,F,09MAY2022
2021-05,Tehama,Managed Care,Anthem Blue Cross Partnership Plan/Tehama,"9,798",,,F,09MAY2022
2021-05,Tehama,Managed Care,California Health and Wellness Plan/Tehama,"13,164",,,F,09MAY2022
2021-05,Tehama,Managed Care,Out of County Plan,486,,,F,09MAY2022
2021-05,Trinity,Fee-for-Service,Fee-for-Service,289,,,F,09MAY2022
2021-05,Trinity,Managed Care,Out of County Plan,150,,,F,09MAY2022
2021-05,Trinity,Managed Care,Partnership Health Plan of California/Trinity,"5,046",,,F,09MAY2022
2021-05,Tulare,Fee-for-Service,Fee-for-Service,"45,681",,,F,09MAY2022
2021-05,Tulare,Managed Care,Anthem Blue Cross/Tulare,"105,954",,,F,09MAY2022
2021-05,Tulare,Managed Care,Health Net Community Solutions/Tulare,"115,417",,,F,09MAY2022
2021-05,Tulare,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
2021-05,Tulare,Managed Care,Sequoia PACE/Tulare,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,Tuolumne,Fee-for-Service,Fee-for-Service,"2,805",,,F,09MAY2022
2021-05,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"6,128",,,F,09MAY2022
2021-05,Tuolumne,Managed Care,California Health and Wellness Plan/Tuolumne,"5,345",,,F,09MAY2022
2021-05,Tuolumne,Managed Care,Out of County Plan,127,,,F,09MAY2022
2021-05,Ventura,Fee-for-Service,Fee-for-Service,"25,296",,,F,09MAY2022
2021-05,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"218,414",,,F,09MAY2022
2021-05,Ventura,Managed Care,Out of County Plan,"1,036",,,F,09MAY2022
2021-05,Yolo,Fee-for-Service,Fee-for-Service,"5,479",,,F,09MAY2022
2021-05,Yolo,Managed Care,Out of County Plan,597,,,F,09MAY2022
2021-05,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"53,613",,,F,09MAY2022
2021-05,Yuba,Fee-for-Service,Fee-for-Service,"6,748",,,F,09MAY2022
2021-05,Yuba,Managed Care,Anthem Blue Cross Partnership Plan/Yuba,"17,590",,,F,09MAY2022
2021-05,Yuba,Managed Care,California Health and Wellness Plan/Yuba,"10,118",,,F,09MAY2022
2021-05,Yuba,Managed Care,InnovAge PACE/Yuba,,1,Cell suppressed for small numbers,F,09MAY2022
2021-05,Yuba,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09MAY2022
